workout_id,sets,reps,weight,exercise_name,category_name,date
3,3,8,20,Dumbbell Angled Bench Press,Upper Body,6/17/2023
63,3,8,25,Dumbbell Angled Bench Press,Upper Body,8/8/2023
104,3,8,20,Dumbbell Angled Bench Press,Upper Body,8/15/2023
108,3,10,20,Dumbbell Angled Bench Press,Upper Body,2/10/2024
117,3,10,20,Dumbbell Angled Bench Press,Upper Body,2/18/2024
128,3,10,15,Dumbbell Angled Bench Press,Upper Body,2/24/2024
139,4,12,20,Dumbbell Angled Bench Press,Upper Body,2/27/2024
150,4,12,20,Dumbbell Angled Bench Press,Upper Body,3/2/2024
160,4,12,20,Dumbbell Angled Bench Press,Upper Body,3/5/2024
178,3,10,20,Dumbbell Angled Bench Press,Upper Body,9/27/2024
186,4,10,20,Dumbbell Angled Bench Press,Upper Body,9/30/2024
197,3,8,25,Dumbbell Angled Bench Press,Upper Body,10/8/2024
207,3,8,25,Dumbbell Angled Bench Press,Upper Body,10/14/2024
209,3,8,25,Dumbbell Angled Bench Press,Upper Body,10/17/2024
223,4,8,25,Dumbbell Angled Bench Press,Upper Body,10/21/2024
